"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U7";"SON125P500X300X100-8N";1;"ALTI";;;
2;"C10,C13,C14";"C_0805_2012Metric";3;"100nF";;;
3;"R31,R34,R35,R36,R44,R25,R26,R27,R28,R1,R11,R12,R4,R8,R13,R14,R15,R18,R19,R20,R21,R22,R32,R33,R37";"R_0805_2012Metric";25;"0";;;
4;"GPS";"FGPMMOPA6H";1;"FGPMMOPA6H";;;
5;"LED1";"CHIPLED_0805";1;"RED";;;
6;"D1";"SOD-323";1;"1N4148";;;
7;"C7";"C_0805_2012Metric";1;"0.1uF";;;
8;"R23,R16,R29,R30";"R_0805_2012Metric";4;"1K";;;
9;"R24";"R_0805_2012Metric";1;"10K";;;
10;"U$1";"U.FL";1;"U.FL";;;
11;"IC1";"SOIC127P600X175-8N";1;"RTC_PCF8523T";;;
12;"C1,C4,C8,C9";"C_0805_2012Metric";4;"10uF";;;
13;"Q1";"XTAL320X150X90";1;"32.768KHz";;;
14;"R2,R3";"R_0805_2012Metric";2;"8.2k";;;
15;"L3";"INDC7070X450";1;"2.2uH";;;
16;"L4";"INDC7070X450";1;"3.3uH";;;
17;"U5,U4";"TPS564208";2;"TPS564208";;;
18;"U1";"QFP50P1200X1200X160-64N";1;"STM32F401RET6";;;
19;"100nF1";"C_0805_2012Metric";1;"C5";;;
20;"100nF2";"C_0805_2012Metric";1;"C15";;;
21;"100nF3";"C_0805_2012Metric";1;"C9";;;
22;"100nF4";"C_0805_2012Metric";1;"C13";;;
23;"100nF5";"C_0805_2012Metric";1;"C11";;;
24;"10k1";"R_0805_2012Metric";1;"R5";;;
25;"10k2";"R_0805_2012Metric";1;"R6";;;
26;"10k3";"R_0805_2012Metric";1;"R7";;;
27;"10k4,10k4";"R_0805_2012Metric";2;"R8";;;
28;"10nF1";"C_0805_2012Metric";1;"C7";;;
29;"1uF1";"C_0805_2012Metric";1;"C6";;;
30;"1uF2";"C_0805_2012Metric";1;"C14";;;
31;"1uF3";"C_0805_2012Metric";1;"C8";;;
32;"1uF4";"C_0805_2012Metric";1;"C12";;;
33;"1uF5";"C_0805_2012Metric";1;"C10";;;
34;"22uH1";"L_0805_2012Metric";1;"L1";;;
35;"4.7uF1";"C_0805_2012Metric";1;"C21";;;
36;"C2,C3";"C_0805_2012Metric";2;"4.3pF";;;
37;"C16,C17";"C_0805_2012Metric";2;"47uF";;;
38;"D2,D3";"LED_0805_2012Metric";2;"LED";;;
39;"SD Card";"microSD_HC_Hirose_DM3BT-DSF-PEJS";1;"Micro_SD_Card_Det";;;
40;"J2";"PinHeader_2x10_P2.54mm_Vertical";1;"Conn_ARM_JTAG_SWD_20";;;
41;"J4,J6,J7";"PinHeader_1x16_P2.54mm_Vertical";3;"Conn_01x16_Male";;;
42;"J5,J9,J3";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02_Male";;;
43;"R5,R6,R7,R9,R10";"R_0805_2012Metric";5;"56k";;;
44;"R38";"R_0805_2012Metric";1;"33.2k";;;
45;"R39,R41";"R_0805_2012Metric";2;"10k";;;
46;"R40";"R_0805_2012Metric";1;"56.2k";;;
47;"R42,R43";"R_0805_2012Metric";2;"4.7k";;;
48;"R100";"R_0805_2012Metric";1;"0k1";;;
49;"R101";"R_0805_2012Metric";1;"0k2";;;
50;"SW1";"SW_SPST_B3U-1000P";1;"SW_DPST_x2";;;
51;"Y1";"Crystal_SMD_0603-4Pin_6.0x3.5mm_HandSoldering";1;"32.768MHz";;;
52;"Thermocouple";"SO-8";1;"MAX31855";;;
53;"C5";"C_0805_2012Metric";1;".01 uF";;;
54;"C6";"C_0805_2012Metric";1;"0.1 uF";;;
55;"L1,L2";"L_0603_1608Metric";2;"Ferrite_Bead";;;
56;"B2";"S8411-45R";1;"CR1220";;;
57;"C11,C12,C19";"C_0805_2012Metric";3;"100n";;;
58;"C15";"C_0805_2012Metric";1;"10u";;;
59;"C18";"C_0805_2012Metric";1;"10n";;;
60;"IMU";"LGA-24_3x3.5mm_LSM9DS1";1;"LSM9DS1TR";;;
61;"J8,J10";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08_Male";;;
